Property ID,Property name,Final URL,Image URL,Destination name,Price,Star rating,Score,Max score,Facilities
656991037817,Мини-гостиница Дельфин,https://sutochno.ru/front/searchapp/hotels/65699,https://pumpons.github.io/sutochno-feeds/images/2576612aae761f07.png,Адлер,3970 RUB,0,4.9308641975309,5.0,круглосуточная стойка
656991037729,Мини-гостиница Дельфин,https://sutochno.ru/front/searchapp/hotels/65699,https://pumpons.github.io/sutochno-feeds/images/7476fb33c88f85e5.png,Адлер,3570 RUB,0,4.9308641975309,5.0,круглосуточная стойка
1244031601528,Объект На Крупской первая береговая линия,https://sutochno.ru/front/searchapp/hotels/124403,https://pumpons.github.io/sutochno-feeds/images/7f9a01dcca2457c1.png,Адлер,2999 RUB,0,4.9305555555556,5.0,
1483041913667,Отель Лаванда,https://sutochno.ru/front/searchapp/hotels/148304,https://pumpons.github.io/sutochno-feeds/images/4191aba9946a630f.png,Адлер,1874 RUB,0,4.9305555555556,5.0,трансфер;круглосуточная стойка;Терраса;Бассейн (открытый);прачечная
1244031797103,Объект На Крупской первая береговая линия,https://sutochno.ru/front/searchapp/hotels/124403,https://pumpons.github.io/sutochno-feeds/images/7f9a01dcca2457c1.png,Адлер,2999 RUB,0,4.9305555555556,5.0,
1483041913615,Отель Лаванда,https://sutochno.ru/front/searchapp/hotels/148304,https://pumpons.github.io/sutochno-feeds/images/9774ba9987f2a459.png,Адлер,1500 RUB,0,4.9305555555556,5.0,трансфер;круглосуточная стойка;Терраса;Бассейн (открытый);прачечная
1483041913680,Отель Лаванда,https://sutochno.ru/front/searchapp/hotels/148304,https://pumpons.github.io/sutochno-feeds/images/c61ef1f0440ff66e.png,Адлер,2250 RUB,0,4.9305555555556,5.0,трансфер;круглосуточная стойка;Терраса;Бассейн (открытый);прачечная
855951188899,Объект Fidan SPA,https://sutochno.ru/front/searchapp/hotels/85595,https://pumpons.github.io/sutochno-feeds/images/d123b72b02378c6e.png,Сочи,3300 RUB,0,4.9287037037037,5.0,трансфер;доставка в номер;бар;круглосуточная стойка;Спа
855951188873,Объект Fidan SPA,https://sutochno.ru/front/searchapp/hotels/85595,https://pumpons.github.io/sutochno-feeds/images/fbe4a37922a8a440.png,Сочи,3600 RUB,0,4.9287037037037,5.0,трансфер;доставка в номер;бар;круглосуточная стойка;Спа
53115950071,Объект Любимый дворик,https://sutochno.ru/front/searchapp/hotels/53115,https://pumpons.github.io/sutochno-feeds/images/cd92d9b3a775293e.png,Сочи,2250 RUB,0,4.9283457613815,5.0,сад
531151609850,Объект Любимый дворик,https://sutochno.ru/front/searchapp/hotels/53115,https://pumpons.github.io/sutochno-feeds/images/1e000ee5a4c5dab4.png,Сочи,3125 RUB,0,4.9283457613815,5.0,сад
531151562436,Объект Любимый дворик,https://sutochno.ru/front/searchapp/hotels/53115,https://pumpons.github.io/sutochno-feeds/images/be9654b2e995a69b.png,Сочи,4000 RUB,0,4.9283457613815,5.0,сад
1481851911454,Гостевой дом Red,https://sutochno.ru/front/searchapp/hotels/148185,https://pumpons.github.io/sutochno-feeds/images/6b8e505d9a45e702.png,Сочи,3000 RUB,0,4.9279388083736,5.0,круглосуточная стойка;камера хранения
1481851915931,Гостевой дом Red,https://sutochno.ru/front/searchapp/hotels/148185,https://pumpons.github.io/sutochno-feeds/images/ea37aa9d031e8206.png,Сочи,3960 RUB,0,4.9279388083736,5.0,круглосуточная стойка;камера хранения
1733292257760,Отель Манхэттен,https://sutochno.ru/front/searchapp/hotels/173329,https://pumpons.github.io/sutochno-feeds/images/63f42a2c09f328ce.png,Сочи,5520 RUB,3,4.9266666666667,5.0,лифт
1733292257703,Отель Манхэттен,https://sutochno.ru/front/searchapp/hotels/173329,https://pumpons.github.io/sutochno-feeds/images/21a8637155942a59.png,Сочи,3410 RUB,3,4.9266666666667,5.0,лифт
1733292257667,Отель Манхэттен,https://sutochno.ru/front/searchapp/hotels/173329,https://pumpons.github.io/sutochno-feeds/images/36fbb7cf45b87bb3.png,Сочи,3130 RUB,3,4.9266666666667,5.0,лифт
1733292257560,Отель Манхэттен,https://sutochno.ru/front/searchapp/hotels/173329,https://pumpons.github.io/sutochno-feeds/images/5ea9587bfc083239.png,Сочи,2580 RUB,3,4.9266666666667,5.0,лифт
1733292257691,Отель Манхэттен,https://sutochno.ru/front/searchapp/hotels/173329,https://pumpons.github.io/sutochno-feeds/images/53e76971a217575a.png,Сочи,3320 RUB,3,4.9266666666667,5.0,лифт
1733292257708,Отель Манхэттен,https://sutochno.ru/front/searchapp/hotels/173329,https://pumpons.github.io/sutochno-feeds/images/155ab8dc0257de47.png,Сочи,3590 RUB,3,4.9266666666667,5.0,лифт
622431037117,Объект Семья,https://sutochno.ru/front/searchapp/hotels/62243,https://pumpons.github.io/sutochno-feeds/images/3743a82ad1c5f711.png,Сочи,2800 RUB,0,4.9250721500721,5.0,
622431034553,Объект Семья,https://sutochno.ru/front/searchapp/hotels/62243,https://pumpons.github.io/sutochno-feeds/images/3743a82ad1c5f711.png,Сочи,2800 RUB,0,4.9250721500721,5.0,
622431012471,Объект Семья,https://sutochno.ru/front/searchapp/hotels/62243,https://pumpons.github.io/sutochno-feeds/images/c4b5960871213c2a.png,Сочи,3000 RUB,0,4.9250721500721,5.0,
622431037115,Объект Семья,https://sutochno.ru/front/searchapp/hotels/62243,https://pumpons.github.io/sutochno-feeds/images/3743a82ad1c5f711.png,Сочи,2800 RUB,0,4.9250721500721,5.0,
622431165153,Объект Семья,https://sutochno.ru/front/searchapp/hotels/62243,https://pumpons.github.io/sutochno-feeds/images/c4b5960871213c2a.png,Сочи,3000 RUB,0,4.9250721500721,5.0,
622431012533,Объект Семья,https://sutochno.ru/front/searchapp/hotels/62243,https://pumpons.github.io/sutochno-feeds/images/c4b5960871213c2a.png,Сочи,3000 RUB,0,4.9250721500721,5.0,
581471337413,Объект ASport,https://sutochno.ru/front/searchapp/hotels/58147,https://pumpons.github.io/sutochno-feeds/images/d7f1988023dd91ae.png,Сочи,5000 RUB,0,4.9247967144209,5.0,
58147981183,Объект ASport,https://sutochno.ru/front/searchapp/hotels/58147,https://pumpons.github.io/sutochno-feeds/images/069be1041c0e8c82.png,Сочи,3000 RUB,0,4.9247967144209,5.0,
58147981363,Объект ASport,https://sutochno.ru/front/searchapp/hotels/58147,https://pumpons.github.io/sutochno-feeds/images/069be1041c0e8c82.png,Сочи,3000 RUB,0,4.9247967144209,5.0,
58147981403,Объект ASport,https://sutochno.ru/front/searchapp/hotels/58147,https://pumpons.github.io/sutochno-feeds/images/069be1041c0e8c82.png,Сочи,3000 RUB,0,4.9247967144209,5.0,
58147981169,Объект ASport,https://sutochno.ru/front/searchapp/hotels/58147,https://pumpons.github.io/sutochno-feeds/images/069be1041c0e8c82.png,Сочи,3000 RUB,0,4.9247967144209,5.0,
58147981217,Объект ASport,https://sutochno.ru/front/searchapp/hotels/58147,https://pumpons.github.io/sutochno-feeds/images/069be1041c0e8c82.png,Сочи,3000 RUB,0,4.9247967144209,5.0,
58147981421,Объект ASport,https://sutochno.ru/front/searchapp/hotels/58147,https://pumpons.github.io/sutochno-feeds/images/20905324662717d6.png,Сочи,4000 RUB,0,4.9247967144209,5.0,
1163691551939,Объект На Чайковского,https://sutochno.ru/front/searchapp/hotels/116369,https://pumpons.github.io/sutochno-feeds/images/8118c3a0569afec0.png,Сочи,5300 RUB,0,4.9241338027052,5.0,
1163691831440,Объект На Чайковского,https://sutochno.ru/front/searchapp/hotels/116369,https://pumpons.github.io/sutochno-feeds/images/b5afcc1ed6121b25.png,Сочи,1599 RUB,0,4.9241338027052,5.0,
33579774983,Гостевой дом Willa de Sofia,https://sutochno.ru/front/searchapp/hotels/33579,https://pumpons.github.io/sutochno-feeds/images/eadc22ec67801a3d.png,Адлер,1900 RUB,0,4.9238746202706,5.0,
655871036787,Апартаменты Апартаменты на Навагинской 3,https://sutochno.ru/front/searchapp/hotels/65587,https://pumpons.github.io/sutochno-feeds/images/850316590660a357.png,Сочи,2500 RUB,0,4.9232456140351,5.0,круглосуточная стойка;лифт
1309381698616,Объект На Светлане,https://sutochno.ru/front/searchapp/hotels/130938,https://pumpons.github.io/sutochno-feeds/images/e2bab1c673107808.png,Сочи,2300 RUB,0,4.9232026143791,5.0,сад
563051569931,Объект Ника на Ленина,https://sutochno.ru/front/searchapp/hotels/56305,https://pumpons.github.io/sutochno-feeds/images/d3a6ec604f776f24.png,Адлер,3000 RUB,0,4.9231227106227,5.0,
56305729375,Объект Ника на Ленина,https://sutochno.ru/front/searchapp/hotels/56305,https://pumpons.github.io/sutochno-feeds/images/d3a6ec604f776f24.png,Адлер,3000 RUB,0,4.9231227106227,5.0,
563051773943,Объект Ника на Ленина,https://sutochno.ru/front/searchapp/hotels/56305,https://pumpons.github.io/sutochno-feeds/images/8cfe70161978e0ba.png,Адлер,3600 RUB,0,4.9231227106227,5.0,
795911144103,Объект Лавр,https://sutochno.ru/front/searchapp/hotels/79591,https://pumpons.github.io/sutochno-feeds/images/cb413ca45b4c6429.png,Сочи,1900 RUB,0,4.9231150793651,5.0,Терраса
795911143853,Объект Лавр,https://sutochno.ru/front/searchapp/hotels/79591,https://pumpons.github.io/sutochno-feeds/images/36f9bf2f659aa3dc.png,Сочи,1100 RUB,0,4.9231150793651,5.0,Терраса
795911144145,Объект Лавр,https://sutochno.ru/front/searchapp/hotels/79591,https://pumpons.github.io/sutochno-feeds/images/64ec943a43dc342d.png,Сочи,2700 RUB,0,4.9231150793651,5.0,Терраса
1502022205081,Отель Villa Dalila,https://sutochno.ru/front/searchapp/hotels/150202,https://pumpons.github.io/sutochno-feeds/images/206a8099168c9f66.png,Адлер,3503 RUB,3,4.9229582146249,5.0,круглосуточная стойка;Терраса;Бассейн (открытый);Игровая площадка для детей;бассейн с подогревом;камера хранения
